Average Price,star rating,Hotel Name,amenities & Room
After tax US$77,4,CitiGO Hotel Sanyuanqiao Beijing,"Wi-Fi in designated areas, Gym, Restaurant, Front desk (24 hours), Non-smoking floor, Luggage storage, Wake-up call, Billiards, Library, Designated Smoking Area, "
After tax US$61,4,pentahotel Beijing,"Wi-Fi in designated areas, Gym, Restaurant, Front desk (24 hours), Bar, Non-smoking floor, Currency exchange, Luggage storage, Wake-up call, Billiards, "
After tax US$85,4,5L Hotel,"Wi-Fi in designated areas, Gym, Restaurant, Front desk (24 hours), Bar, Café, Non-smoking floor, Currency exchange, ATM, Luggage storage, Wake-up call, Basketball, Football, Teahouse, Game room, Designated Smoking Area, "
After tax US$83,4,Mercure Beijing Downtown,"Wi-Fi in designated areas, Airport pickup service, Indoor swimming pool, Gym, Restaurant, Front desk (24 hours), Luggage storage, Wake-up call, "
After tax US$97,3,Juny Oriental Hotel,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Non-smoking floor, Luggage storage, Wake-up call, "
After tax US$82,4,Haan Grand Hotel,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Café, Non-smoking floor, Luggage storage, Wake-up call, Teahouse, Library, "
After tax US$115,4,Jianguo Boutique Hotel,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Bar, Café, Non-smoking floor, Luggage storage, Wake-up call, Teahouse, "
After tax US$93,3,HERE INN HOTEL,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Café, Non-smoking floor, Luggage storage, Wake-up call, Designated Smoking Area, "
After tax US$122,0,Moon cottage,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Non-smoking floor, Luggage storage, Wake-up call, Skiing, Teahouse, "
After tax US$173,5,Financier Executive Residence,"Wi-Fi in designated areas, Indoor swimming pool, Gym, Restaurant, Front desk (24 hours), Spa, Café, Non-smoking floor, ATM, Luggage storage, Wake-up call, Water sports, "
After tax US$71,3,Grand Hotel Yuanshan,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Non-smoking floor, Currency exchange, Luggage storage, Wake-up call, Karaoke, Mahjong/chess/poker room, Teahouse, Beauty salon, "
After tax US$126,3,Horticultural Homestay,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Non-smoking floor, Luggage storage, Wake-up call, Basketball, Mahjong/chess/poker room, Teahouse, Library, Designated Smoking Area, "
After tax US$67,4,Beijing Four Seasons Royal Garden International Hotel,"Wi-Fi in designated areas, Indoor swimming pool, Restaurant, Currency exchange, ATM, Luggage storage, Wake-up call, Mahjong/chess/poker room, Teahouse, "
After tax US$192,5,Zhaolin Grand Hotel,"Wi-Fi in designated areas, Airport pickup service, Indoor swimming pool, Gym, Restaurant, Front desk (24 hours), Sauna|Foot massage, Bar, Café, Non-smoking floor, Currency exchange, ATM, Luggage storage, Wake-up call, Teahouse, "
After tax US$46,3,Yunchuan Hotel,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Café, Non-smoking floor, Luggage storage, Wake-up call, Fishing, Designated Smoking Area, "
After tax US$71,4,Yingxiangcheng Hotel (Beijing Wangfujing),"Wi-Fi in designated areas, Airport pickup service, Gym, Restaurant, Non-smoking floor, Currency exchange, Luggage storage, Wake-up call, Designated Smoking Area, "
After tax US$118,4,Sinopec Conference Center,"Wi-Fi in designated areas, Indoor swimming pool, Gym, Restaurant, Front desk (24 hours), Massage|Sauna|Hot spring|Foot massage|Spa, Non-smoking floor, ATM, Luggage storage, Wake-up call, Karaoke, Table tennis, Billiards, Basketball, Tennis, Bowling, Mahjong/chess/poker room, Teahouse, Beauty salon, "
After tax US$97,3,Southern Pearl Hotel,"Airport Shuttle Service, Restaurant, Front desk (24 hours), Café, Non-smoking floor, ATM, Luggage storage, Wake-up call, "
"After tax US$1,196",0,BaiNaoYi Homestay BEIJING,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Luggage storage, Wake-up call, Mahjong/chess/poker room, "
After tax US$82,4,Junyi Runhua Hotel,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Massage, Café, Currency exchange, ATM, Luggage storage, Wake-up call, Table tennis, Billiards, Mahjong/chess/poker room, Teahouse, "
After tax US$76,2,"Yunchuan 3D Cinema Hotel (Beijing Bird's Nest, University of International Business and Economics)","Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Non-smoking floor, Luggage storage, Wake-up call, "
After tax US$136,3,Lipin Hotel (Beijing South Luogu Lane),"Wi-Fi in designated areas, Airport pickup service, Restaurant, Front desk (24 hours), Non-smoking floor, Luggage storage, Wake-up call, "
After tax US$108,4,United Days Boutique Business Hotel,"Wi-Fi in designated areas, Airport pickup service, Restaurant, Front desk (24 hours), Bar, Café, Luggage storage, Wake-up call, "
After tax US$245,5,Grand Hyatt Beijing,"Wi-Fi in designated areas, Airport pickup service, Indoor swimming pool, Gym, Restaurant, Front desk (24 hours), Massage|Sauna|Hot spring|Spa, Bar, Café, Non-smoking floor, Luggage storage, Wake-up call, "
After tax US$75,3,SUNLIT HOTEL,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Non-smoking floor, Luggage storage, Wake-up call, Library, Designated Smoking Area, "
After tax US$474,4,Go Inn Hotel,"Wi-Fi in designated areas, Airport pickup service, Gym, Restaurant, Front desk (24 hours), Massage|Sauna|Hot spring|Foot massage|Spa, Non-smoking floor, ATM, Luggage storage, Wake-up call, Water sports, Karaoke, Table tennis, Billiards, Teahouse, "
After tax US$221,5,Lijingwan International Hotel,"Wi-Fi in designated areas, Airport pickup service, Indoor swimming pool, Gym, Restaurant, Front desk (24 hours), Massage|Sauna|Foot massage, Bar, Non-smoking floor, Currency exchange, ATM, Luggage storage, Wake-up call, Table tennis, Mahjong/chess/poker room, "
After tax US$67,2,Yoyo Inn,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Luggage storage, Wake-up call, "
After tax US$70,3,Beijing Libang Garden Town homestay Resort,"Wi-Fi in designated areas, Restaurant, Luggage storage, Wake-up call, Billiards, Basketball, Mahjong/chess/poker room, Teahouse, Designated Smoking Area, "
After tax US$121,4,Beijing Dragon Spring Hotel,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Bar, Currency exchange, ATM, Luggage storage, Wake-up call, Karaoke, Billiards, Teahouse, Beauty salon, "
After tax US$98,2,chadaoguyi,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Non-smoking floor, Luggage storage, Wake-up call, Mahjong/chess/poker room, Teahouse, Designated Smoking Area, "
After tax US$248,0,Floral GuBeiYueHai Hotel,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Bar, Non-smoking floor, Luggage storage, Wake-up call, Teahouse, Designated Smoking Area, "
After tax US$144,5,Marco Polo Parkside Beijing,"Wi-Fi in designated areas, Airport pickup service, Indoor swimming pool, Gym, Restaurant, Front desk (24 hours), Massage|Sauna|Spa, Bar, Non-smoking floor, Currency exchange, Luggage storage, Wake-up call, "
After tax US$139,4,North Garden Hotel,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Café, Non-smoking floor, Currency exchange, Luggage storage, Wake-up call, Teahouse, "
After tax US$181,3,Yingxiangcheng Hotel (Beijing the former site of duanqiruizhi government),"Wi-Fi in designated areas, Airport Shuttle Service|Airport pickup service, Restaurant, Front desk (24 hours), Non-smoking floor, Currency exchange, Luggage storage, Wake-up call, Teahouse, Library, Designated Smoking Area, "
After tax US$263,3,Lianshi Shanfang Guesthouse,"Wi-Fi in designated areas, Restaurant, Bar, Luggage storage, Wake-up call, Karaoke, Mahjong/chess/poker room, Teahouse, "
After tax US$417,3,Huaxi Lishe Hostel,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Non-smoking floor, Luggage storage, Wake-up call, "
After tax US$146,0,Yuanzhu Yuesu Courtyard Boutique Hostel,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Luggage storage, Wake-up call, Teahouse, "
After tax US$121,4,The Valley Hotel and Resort Beijing,"Wi-Fi in designated areas, Airport pickup service, Gym, Restaurant, Front desk (24 hours), Hot spring, Non-smoking floor, Luggage storage, Wake-up call, Karaoke, Table tennis, Billiards, Mahjong/chess/poker room, Fishing, Game room, "
After tax US$148,4,Xiangshanghui Hotel,"Wi-Fi in designated areas, Gym, Restaurant, Front desk (24 hours), Café, Non-smoking floor, Luggage storage, Wake-up call, Designated Smoking Area, "
After tax US$65,4,Ligen Hotel,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Non-smoking floor, Currency exchange, Luggage storage, Wake-up call, "
After tax US$149,4,Qushui Lanting Resort Beijing,"Wi-Fi in designated areas, Airport pickup service, Restaurant, Front desk (24 hours), Massage|Sauna|Foot massage|Spa, Bar, Non-smoking floor, ATM, Luggage storage, Wake-up call, Karaoke, Teahouse, Designated Smoking Area, "
After tax US$44,2,Tangren Century Huakun Hotel,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Non-smoking floor, ATM, Luggage storage, Wake-up call, Teahouse, "
After tax US$143,4,Garden Hotel,"Wi-Fi in designated areas, Gym, Restaurant, Front desk (24 hours), Sauna, Café, Non-smoking floor, Currency exchange, ATM, Luggage storage, Wake-up call, Karaoke, Table tennis, Billiards, Tennis, Mahjong/chess/poker room, Teahouse, Beauty salon, "
After tax US$104,4,Baozhigu International Convention Center Beijing,"Wi-Fi in designated areas, Airport pickup service, Gym, Restaurant, Front desk (24 hours), Luggage storage, Wake-up call, Table tennis, Billiards, Basketball, Mahjong/chess/poker room, "
After tax US$153,4,A.C. Embassy Hotel,"Wi-Fi in designated areas, Restaurant, Front desk (24 hours), Bar, Café, Currency exchange, ATM, Luggage storage, Wake-up call, Karaoke, Nightclub, "
